FID,Geocodigo,Nome,MoradDPPOColetDomicServLimpTot,MoradDPPOColetTot,MoradDPPODepCacambServLimpTot,MoradDPPOTot,PercMoradDPPOColetDomicServLimpTot,PercMoradDPPOColetTot,PercMoradDPPODepCacambServLimpTot
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-41f,5205703,Córrego do Ouro - GO,1534,1976,442,2454,62.51,80.52,18.01
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-41d,5205802,Corumbá de Goiás - GO,7159,7719,560,10351,69.16,74.57,5.41
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-41c,5205901,Corumbaíba - GO,7604,8125,521,9103,83.53,89.26,5.72
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-41b,4305454,Cidreira - RS,16340,16964,624,17009,96.07,99.74,3.67
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-41a,4307450,Esperança do Sul - RS,1734,2089,355,3226,53.75,64.76,11
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-419,4307500,Espumoso - RS,7824,13249,5425,15007,52.14,88.29,36.15
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-418,5206206,Cristalina - GO,53571,54543,972,62083,86.29,87.85,1.57
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-417,5206305,Cristianópolis - GO,3049,3159,110,3477,87.69,90.85,3.16
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-416,5206404,Crixás - GO,13382,13704,322,17006,78.69,80.58,1.89
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-414,4305504,Ciríaco - RS,3818,3822,4,4146,92.09,92.19,0.1
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-413,4307708,Esteio - RS,69580,75890,6310,75957,91.6,99.91,8.31
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-412,5206503,Cromínia - GO,3078,3533,455,3879,79.35,91.08,11.73
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-411,5206602,Cumari - GO,2341,2709,368,2908,80.5,93.16,12.65
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-410,4305587,Colinas - RS,2381,2381,,2421,98.35,98.35,
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-40f,4305603,Colorado - RS,1666,2838,1172,3253,51.21,87.24,36.03
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-40e,4305702,Condor - RS,5316,5722,406,6406,82.98,89.32,6.34
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-40d,4308003,Faxinal do Soturno - RS,4882,6225,1343,6698,72.89,92.94,20.05
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-40c,4308052,Faxinalzinho - RS,1965,2250,285,2515,78.13,89.46,11.33
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-40b,5206701,Damianópolis - GO,3015,3027,12,3768,80.02,80.33,0.32
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-40a,5206800,Damolândia - GO,2265,2507,242,2717,83.36,92.27,8.91
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-409,5206909,Davinópolis - GO,1514,1788,274,1899,79.73,94.15,14.43
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-408,5207105,Diorama - GO,1410,1537,127,2054,68.65,74.83,6.18
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-407,5207253,Doverlândia - GO,4878,4992,114,6939,70.3,71.94,1.64
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-405,5207352,Edealina - GO,3115,3484,369,3981,78.25,87.52,9.27
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-404,4305801,Constantina - RS,7915,8903,988,10377,76.27,85.8,9.52
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-403,4305835,Coqueiro Baixo - RS,1236,1241,5,1290,95.81,96.2,0.39
