FID,Geocodigo,Nome,MoradDPPOColetDomicServLimpTot,MoradDPPOColetTot,MoradDPPODepCacambServLimpTot,MoradDPPOTot,PercMoradDPPOColetDomicServLimpTot,PercMoradDPPOColetTot,PercMoradDPPODepCacambServLimpTot
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a9e,1100023,Ariquemes - RO,86646,86935,289,96152,90.11,90.41,0.3
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a9d,1100031,Cabixi - RO,3185,3191,6,5351,59.52,59.63,0.11
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a9c,1100049,Cacoal - RO,71431,73286,1855,86494,82.58,84.73,2.14
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a9b,1100056,Cerejeiras - RO,13090,13636,546,15798,82.86,86.31,3.46
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a9a,1100015,Alta Floresta D'Oeste - RO,12350,12759,409,21440,57.6,59.51,1.91
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a99,1100064,Colorado do Oeste - RO,11903,11951,48,15663,75.99,76.3,0.31
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a98,1100072,Corumbiara - RO,3566,3606,40,7503,47.53,48.06,0.53
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a97,1100080,Costa Marques - RO,7507,7968,461,12526,59.93,63.61,3.68
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a96,1100098,Espigão D'Oeste - RO,20893,21457,564,29329,71.24,73.16,1.92
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a95,1100106,Guajará-Mirim - RO,28705,28901,196,38963,73.67,74.18,0.5
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a94,1100114,Jaru - RO,39957,40114,157,50354,79.35,79.66,0.31
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a93,1100122,Ji-Paraná - RO,113863,114776,913,123752,92.01,92.75,0.74
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a92,1100130,Machadinho D'Oeste - RO,15350,16633,1283,30428,50.45,54.66,4.22
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a90,1100148,Nova Brasilândia D'Oeste - RO,7289,7372,83,15674,46.5,47.03,0.53
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a8f,1100155,Ouro Preto do Oeste - RO,27005,27793,788,34833,77.53,79.79,2.26
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a8e,1100189,Pimenta Bueno - RO,29355,29751,396,34768,84.43,85.57,1.14
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a8d,1100205,Porto Velho - RO,406477,420045,13568,457093,88.93,91.89,2.97
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a8c,1100254,Presidente Médici - RO,12653,12801,148,19274,65.65,66.42,0.77
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a8b,1100262,Rio Crespo - RO,1411,1462,51,3456,40.83,42.3,1.48
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a8a,1100288,Rolim de Moura - RO,48322,48675,353,56137,86.08,86.71,0.63
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a89,1100296,Santa Luzia D'Oeste - RO,3417,3657,240,7391,46.23,49.48,3.25
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a88,1100304,Vilhena - RO,86922,90685,3763,95329,91.18,95.13,3.95
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a87,1100320,São Miguel do Guaporé - RO,11560,11689,129,21548,53.65,54.25,0.6
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a86,1100338,Nova Mamoré - RO,12001,12133,132,25363,47.32,47.84,0.52
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a85,1100346,Alvorada D'Oeste - RO,7678,7827,149,13104,58.59,59.73,1.14
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a84,1100379,Alto Alegre dos Parecis - RO,4861,4978,117,11460,42.42,43.44,1.02
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a83,1100403,Alto Paraíso - RO,8469,8613,144,16289,51.99,52.88,0.88
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a82,1100452,Buritis - RO,18833,19154,321,27827,67.68,68.83,1.15
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a81,1100502,Novo Horizonte do Oeste - RO,3400,3440,40,7663,44.37,44.89,0.52
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a80,1100601,Cacaulândia - RO,1920,1994,74,4145,46.32,48.11,1.79
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a7f,1100700,Campo Novo de Rondônia - RO,2700,2736,36,8818,30.62,31.03,0.41
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a7e,1100809,Candeias do Jamari - RO,14271,15662,1391,22282,64.05,70.29,6.24
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a7d,1100908,Castanheiras - RO,1111,1165,54,3229,34.41,36.08,1.67
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a7c,1100924,Chupinguaia - RO,6051,6151,100,9285,65.17,66.25,1.08
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a7a,1100940,Cujubim - RO,9423,9531,108,14825,63.56,64.29,0.73
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a79,1101005,Governador Jorge Teixeira - RO,2535,2558,23,7984,31.75,32.04,0.29
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a77,1101104,Itapuã do Oeste - RO,5926,6021,95,8543,69.37,70.48,1.11
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a76,1101203,Ministro Andreazza - RO,3074,3088,14,6466,47.54,47.76,0.22
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a75,1101302,Mirante da Serra - RO,4874,4960,86,9235,52.78,53.71,0.93
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a74,1101401,Monte Negro - RO,5262,5368,106,11516,45.69,46.61,0.92
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a73,1101435,Nova União - RO,1683,1762,79,6180,27.23,28.51,1.28
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a72,1101450,Parecis - RO,1485,1515,30,4078,36.41,37.15,0.74
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a71,1101468,Pimenteiras do Oeste - RO,1331,1362,31,2108,63.14,64.61,1.47
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a70,1101476,Primavera de Rondônia - RO,1969,1984,15,3076,64.01,64.5,0.49
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a6f,1101484,São Felipe D'Oeste - RO,2105,2128,23,5256,40.05,40.49,0.44
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a6e,1101492,São Francisco do Guaporé - RO,8457,9636,1179,16250,52.04,59.3,7.26
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a6d,1101500,Seringueiras - RO,5164,5202,38,11158,46.28,46.62,0.34
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a6c,1101559,Teixeirópolis - RO,1502,2101,599,4256,35.29,49.37,14.07
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a6b,1101609,Theobroma - RO,2641,2758,117,8112,32.56,34,1.44
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a6a,1101708,Urupá - RO,5216,5532,316,10722,48.65,51.59,2.95
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a69,1101757,Vale do Anari - RO,3435,3497,62,7717,44.51,45.32,0.8
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a67,1101807,Vale do Paraíso - RO,2514,2846,332,6473,38.84,43.97,5.13
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a66,1200013,Acrelândia - AC,7626,7773,147,13978,54.56,55.61,1.05
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a64,1200054,Assis Brasil - AC,4162,4815,653,8090,51.45,59.52,8.07
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a62,1200104,Brasiléia - AC,16585,17081,496,25931,63.96,65.87,1.91
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a61,1200138,Bujari - AC,4956,6133,1177,12917,38.37,47.48,9.11
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a60,1200179,Capixaba - AC,4444,4538,94,10370,42.85,43.76,0.91
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a5e,1200203,Cruzeiro do Sul - AC,22711,74164,51453,91147,24.92,81.37,56.45
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a5d,1200252,Epitaciolândia - AC,10090,13196,3106,18739,53.84,70.42,16.58
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a5c,1200302,Feijó - AC,16781,17531,750,35345,47.48,49.6,2.12
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a5a,1200328,Jordão - AC,3452,3672,220,9201,37.52,39.91,2.39
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a59,1200336,Mâncio Lima - AC,9189,12324,3135,19224,47.8,64.11,16.31
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a58,1200344,Manoel Urbano - AC,5691,6093,402,11989,47.47,50.82,3.35
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a57,1200351,Marechal Thaumaturgo - AC,155,6581,6426,17093,0.91,38.5,37.59
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a55,1200385,Plácido de Castro - AC,10165,10513,348,16540,61.46,63.56,2.1
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a54,1200393,Porto Walter - AC,1087,5124,4037,10735,10.13,47.73,37.61
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a52,1200401,Rio Branco - AC,329118,342587,13469,361869,90.95,94.67,3.72
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a51,1200427,Rodrigues Alves - AC,7633,8055,422,14919,51.16,53.99,2.83
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a50,1200435,Santa Rosa do Purus - AC,1252,2825,1573,6717,18.64,42.06,23.42
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a4f,1200450,Senador Guiomard - AC,13853,14304,451,20993,65.99,68.14,2.15
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a4e,1200500,Sena Madureira - AC,21431,25300,3869,40874,52.43,61.9,9.47
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a4d,1200609,Tarauacá - AC,22303,23609,1306,42871,52.02,55.07,3.05
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a4b,1200708,Xapuri - AC,8848,10395,1547,18230,48.54,57.02,8.49
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a4a,1200807,Porto Acre - AC,7091,9179,2088,16676,42.52,55.04,12.52
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a49,1300029,Alvarães - AM,3957,9207,5250,15828,25,58.17,33.17
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a47,1300060,Amaturá - AM,4376,4592,216,10812,40.47,42.47,2
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a46,1300086,Anamã - AM,5845,5972,127,9944,58.78,60.06,1.28
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a45,1300102,Anori - AM,10438,11006,568,17123,60.96,64.28,3.32
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a44,1300144,Apuí - AM,8595,9596,1001,20528,41.87,46.75,4.88
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a43,1300201,Atalaia do Norte - AM,6454,7056,602,15195,42.47,46.44,3.96
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a41,1300300,Autazes - AM,19436,20333,897,41548,46.78,48.94,2.16
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a40,1300409,Barcelos - AM,9475,10663,1188,18697,50.68,57.03,6.35
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a3e,1300508,Barreirinha - AM,10453,10997,544,30872,33.86,35.62,1.76
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a3d,1300607,Benjamin Constant - AM,16328,19962,3634,37538,43.5,53.18,9.68
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a3b,1300631,Beruri - AM,2241,8989,6748,20671,10.84,43.49,32.64
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a39,1300680,Boa Vista do Ramos - AM,11296,11509,213,23768,47.53,48.42,0.9
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a38,1300706,Boca do Acre - AM,10598,13968,3370,35357,29.97,39.51,9.53
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a37,1300805,Borba - AM,19643,20035,392,33021,59.49,60.67,1.19
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a36,1300839,Caapiranga - AM,7063,8102,1039,13378,52.8,60.56,7.77
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a34,1300904,Canutama - AM,3627,9029,5402,16862,21.51,53.55,32.04
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a31,1301001,Carauari - AM,14312,19727,5415,28668,49.92,68.81,18.89
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a30,1301100,Careiro - AM,14421,16412,1991,30740,46.91,53.39,6.48
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a2e,1301159,Careiro da Várzea - AM,3996,4438,442,19602,20.39,22.64,2.25
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a2d,1301209,Coari - AM,32721,52108,19387,70506,46.41,73.91,27.5
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a2c,1301308,Codajás - AM,15750,17042,1292,23473,67.1,72.6,5.5
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a2a,1301407,Eirunepé - AM,18020,18378,358,33061,54.51,55.59,1.08
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a28,1301506,Envira - AM,12038,12063,25,17143,70.22,70.37,0.15
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a27,1301605,Fonte Boa - AM,8270,14698,6428,25732,32.14,57.12,24.98
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a25,1301654,Guajará - AM,8536,8939,403,13790,61.9,64.82,2.92
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a24,1301704,Humaitá - AM,36861,39095,2234,57359,64.26,68.16,3.89
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a22,1301803,Ipixuna - AM,9491,11936,2445,24038,39.48,49.65,10.17
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a21,1301852,Iranduba - AM,43649,50365,6716,60904,71.67,82.7,11.03
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a20,1301902,Itacoatiara - AM,71899,75167,3268,103209,69.66,72.83,3.17
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a1f,1301951,Itamarati - AM,5231,5627,396,10910,47.95,51.58,3.63
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a1d,1302009,Itapiranga - AM,7537,8130,593,10107,74.57,80.44,5.87
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a1c,1302108,Japurá - AM,2922,3869,947,8767,33.33,44.13,10.8
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a1a,1302207,Juruá - AM,3315,5186,1871,10729,30.9,48.34,17.44
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a19,1302306,Jutaí - AM,11130,13793,2663,24981,44.55,55.21,10.66
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a16,1302405,Lábrea - AM,24142,27050,2908,45339,53.25,59.66,6.41
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a11,1302504,Manacapuru - AM,67205,71937,4732,101637,66.12,70.78,4.66
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a0f,1302553,Manaquiri - AM,6743,7067,324,17089,39.46,41.35,1.9
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a0e,1302603,Manaus - AM,1869549,2002022,132473,2058504,90.82,97.26,6.44
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a0d,1302702,Manicoré - AM,27863,28795,932,53766,51.82,53.56,1.73
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a0c,1302801,Maraã - AM,6248,7137,889,15388,40.6,46.38,5.78
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a0b,1302900,Maués - AM,26677,28010,1333,60966,43.76,45.94,2.19
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a0a,1303007,Nhamundá - AM,5418,7533,2115,20036,27.04,37.6,10.56
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a09,1303106,Nova Olinda do Norte - AM,15607,16286,679,26925,57.96,60.49,2.52
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a08,1303205,Novo Airão - AM,9116,11700,2584,15707,58.04,74.49,16.45
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a06,1303304,Novo Aripuanã - AM,12753,16082,3329,23695,53.82,67.87,14.05
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a05,1303403,Parintins - AM,63113,68542,5429,96063,65.7,71.35,5.65
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a03,1303502,Pauini - AM,7572,8187,615,19304,39.23,42.41,3.19
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a02,1303536,Presidente Figueiredo - AM,20237,22453,2216,30635,66.06,73.29,7.23
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-1a00,1303569,Rio Preto da Eva - AM,7544,14461,6917,24880,30.32,58.12,27.8
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19fe,1303601,Santa Isabel do Rio Negro - AM,6811,6897,86,14099,48.31,48.92,0.61
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19fd,1303700,Santo Antônio do Içá - AM,7699,11883,4184,28142,27.36,42.23,14.87
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19fa,1303809,São Gabriel da Cachoeira - AM,17904,26010,8106,51258,34.93,50.74,15.81
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19f8,1303908,São Paulo de Olivença - AM,7999,10295,2296,32931,24.29,31.26,6.97
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19f7,1303957,São Sebastião do Uatumã - AM,9149,9204,55,11542,79.27,79.74,0.48
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19f5,1304005,Silves - AM,5042,5389,347,11534,43.71,46.72,3.01
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19f4,1304062,Tabatinga - AM,33374,45701,12327,66438,50.23,68.79,18.55
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19f3,1304104,Tapauá - AM,10362,12443,2081,19489,53.17,63.85,10.68
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19f1,1304203,Tefé - AM,52737,58720,5983,73546,71.71,79.84,8.14
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19ef,1304237,Tonantins - AM,4221,8811,4590,19232,21.95,45.81,23.87
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19ee,1304260,Uarini - AM,8400,8738,338,14261,58.9,61.27,2.37
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19ed,1304302,Urucará - AM,11260,12680,1420,18563,60.66,68.31,7.65
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19ec,1304401,Urucurituba - AM,13622,16129,2507,23539,57.87,68.52,10.65
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19eb,1400027,Amajari - RR,3958,4036,78,13715,28.86,29.43,0.57
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19ea,1400050,Alto Alegre - RR,5205,5298,93,21028,24.75,25.19,0.44
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19e9,1400100,Boa Vista - RR,377411,387519,10108,403025,93.64,96.15,2.51
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19e8,1400159,Bonfim - RR,5706,5814,108,13855,41.18,41.96,0.78
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19e7,1400175,Cantá - RR,5662,5742,80,18557,30.51,30.94,0.43
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19e5,1400209,Caracaraí - RR,11004,11428,424,20882,52.7,54.73,2.03
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19e4,1400233,Caroebe - RR,5878,5911,33,10512,55.92,56.23,0.31
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19e3,1400282,Iracema - RR,4289,4377,88,10018,42.81,43.69,0.88
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19e2,1400308,Mucajaí - RR,12144,12230,86,17937,67.7,68.18,0.48
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19e1,1400407,Normandia - RR,3086,3092,6,13893,22.21,22.26,0.04
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19e0,1400456,Pacaraima - RR,6670,7590,920,17365,38.41,43.71,5.3
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19de,1400472,Rorainópolis - RR,18202,18604,402,32559,55.9,57.14,1.23
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19dc,1400506,São João da Baliza - RR,5846,5923,77,8691,67.26,68.15,0.89
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19db,1400605,São Luiz - RR,4877,4877,,7127,68.43,68.43,
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19da,1400704,Uiramutã - RR,1203,1308,105,13695,8.78,9.55,0.77
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19d9,1500107,Abaetetuba - PA,107449,110683,3234,157761,68.11,70.16,2.05
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19d8,1500131,Abel Figueiredo - PA,5236,5317,81,6125,85.49,86.81,1.32
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19d7,1500206,Acará - PA,11720,15515,3795,58883,19.9,26.35,6.44
sidra_9541_PercMoradDPPOColetTot_munic_22_pol.fid-703dc0a5_191866d88cb_-19d6,1500305,Afuá - PA,3488,11743,8255,37658,9.26,31.18,21.92
